Key,English,Russian,Test
CompanyName.HappyScore.1,,,HappyScore.1
CompanyName.Citizen.1,,,Citizen.1
CompanyName.Dollar.1,,,Dollar.1
CompanyName.Food.1,Nestle,Лента,Food.1
CompanyName.Food.2,PepsiCo,Окей,Food.2
CompanyName.Food.3,Coca-Cola,Магнит,Food.3
CompanyName.Food.4,Unliever,Пятерочка,Food.4
CompanyName.Food.5,Danone,Бомжо Дикси,Food.5
CompanyName.Fuel.1,,,Fuel.1
CompanyName.Policmen.1,,,Policmen.1
CompanyName.Criminal.1,,,Criminal.1
CompanyName.FireFighter.1,,,FireFighter.1
CompanyName.Fire.1,,,Fire.1
CompanyName.Military.1,,,Military.1
CompanyName.Enemy.1,,,Enemy.1
CompanyName.GroundTransport.1,,,GroundTransport.1
CompanyName.FlyTrasport.1,,,FlyTrasport.1
CompanyName.WaterTransport.1,,,WaterTransport.1
CompanyName.Culture.1,,,Culture.1
CompanyName.Patriotizm.1,,,Patriotizm.1
CompanyName.Electronics.1,,,Electronics.1
CompanyName.Logistics.1,,,Logistics.1
CompanyName.Worker.1,,,Worker.1
CompanyName.Engineer.1,,,Engineer.1
CompanyName.Doctor.1,,,Doctor.1
CompanyName.Lawyer.1,,,Lawyer.1
CompanyName.Scientist.1,,,Scientist.1
CompanyName.Energy.1,,,Energy.1
CompanyName.BuildingMaterials.1,,,BuildingMaterials.1
CompanyName.MassMedia.1,,,MassMedia.1
CompanyName.Water.1,,,Water.1
CompanyName.Garbage.1,,,Garbage.1
CompanyName.Parasites.1,,,Parasites.1
CompanyName.Medicines.1,,,Medicines.1
CompanyName.HighTech.1,,,HighTech.1
CompanyName.Liberty.1,,,Liberty.1
CompanyName.Religion.1,,,Religion.1
CompanyName.Sand.1,,,Sand.1
CompanyName.Metall.1,,,Metall.1
CompanyName.Cement.1,,,Cement.1
