Key,English,Russian,Test
FirstName.1,Eugene,Михаил,Eugene
FirstName.2,Matthew,Тимур,Matthew
FirstName.3,Willard,Леонид,Willard
FirstName.4,Phillip,Максим,Phillip
FirstName.5,Bob,Артём,Bob
FirstName.6,Charles,Матвей,Charles
FirstName.7,Paul,Сергей,Paul
FirstName.8,Jerry,Александр,Jerry
FirstName.9,Wesley,Родион,Wesley
FirstName.10,Joseph,Владислав,Joseph
FirstName.11,Floyd,Григорий,Floyd
FirstName.12,Charles,Никита,Charles
FirstName.13,Antonio,Георгий,Antonio
FirstName.14,Benjamin,Владимир,Benjamin
FirstName.15,James,Николай,James
FirstName.16,Francisco,Демид,Francisco
FirstName.17,Raymond,Илья,Raymond
FirstName.18,Darren,Ярослав,Darren
FirstName.19,Brian,Марк,Brian
FirstName.20,Jared,Константин,Jared
FirstName.21,Danny,Дмитрий,Danny
FirstName.22,Andrew,Кирилл,Andrew
FirstName.23,James,Павел,James
FirstName.24,Manuel,Арсений,Manuel
FirstName.25,Jason,Фёдор,Jason
FirstName.26,Howard,Макар,Howard
FirstName.27,Brian,Олег,Brian
FirstName.28,Isaac,Пётр,Isaac
FirstName.29,Dennis,Роман,Dennis
FirstName.30,Joseph,Юрий,Joseph
FirstName.31,Richard,Алексей,Richard
FirstName.32,James,Даниил,James
FirstName.33,Robert,Василий,Robert
FirstName.34,Kenneth,Иван,Kenneth
FirstName.35,Carl,Степан,Carl
FirstName.36,Charles,Богдан,Charles
FirstName.37,Eric,Али,Eric
FirstName.38,Joe,Дамир,Joe
FirstName.39,Timothy,Артемий,Timothy
FirstName.40,Scott,Егор,Scott
LastName.1,Bush,Елисеев,Bush
LastName.2,Myers,Воронин,Myers
LastName.3,Smith,Назаров,Smith
LastName.4,Cortez,Лебедев,Cortez
LastName.5,Marshall,Захаров,Marshall
LastName.6,Hunt,Комаров,Hunt
LastName.7,Hayes,Михеев,Hayes
LastName.8,Watson,Кулаков,Watson
LastName.9,Stevens,Горбунов,Stevens
LastName.10,Cox,Филатов,Cox
LastName.11,Roberts,Макаров,Roberts
LastName.12,Davis,Баранов,Davis
LastName.13,Arnold,Васильев,Arnold
LastName.14,Munoz,Ильинский,Munoz
LastName.15,Miller,Юдин,Miller
LastName.16,Scott,Нефедов,Scott
LastName.17,Jones,Орлов,Jones
LastName.18,Martinez,Карасев,Martinez
LastName.19,Reynolds,Кузьмин,Reynolds
LastName.20,McCarthy,Борисов,McCarthy
LastName.21,Watson,Комаров,Watson
LastName.22,Francis,Парфенов,Francis
LastName.23,Smith,Кузнецов,Smith
LastName.24,Davis,Баранов,Davis
LastName.25,Roberts,Сидоров,Roberts
LastName.26,Jones,Вишневский,Jones
LastName.27,Weaver,Петухов,Weaver
LastName.28,Johnson,Борисов,Johnson
LastName.29,Banks,Павлов,Banks
LastName.30,Wilson,Лазарев,Wilson
LastName.31,Campbell,Андреев,Campbell
LastName.32,Drake,Савельев,Drake
LastName.33,Alvarez,Белоусов,Alvarez
LastName.34,Flores,Павлов,Flores
LastName.35,Moore,Константинов,Moore
LastName.36,Ross,Смирнов,Ross
LastName.37,Nguyen,Тарасов,Nguyen
LastName.38,George,Мухин,George
LastName.39,Marsh,Абрамов,Marsh
LastName.40,Wilson,Щербаков,Wilson
