Key,English,Russian,Test
HappyScore,HappyScore,Счастья,HappyScore
Citizen,Citizens,Гражданских,Citizen
Dollar,Dollars,Рублей,Dollar
Food,Food,Еды,Food
Fuel,Fuel,Топлива,Fuel
Policmen,Policmen,Силовиков,Policmen
Criminal,Criminal,Криминал,Criminal
FireFighter,FireFighter,Пожарников,FireFighter
Fire,Fire,Пожары,Fire
Military,Military,Военных,Military
Enemy,Enemy,Врагов,Enemy
GroundTransport,GroundTransport,Земного транспорта,GroundTransport
FlyTrasport,FlyTrasport,Воздушного транспорта,FlyTrasport
WaterTransport,WaterTransport,Водного транспорта,WaterTransport
Culture,Culture,Культуры,Culture
Patriotizm,Patriotizm,Патриотизма,Patriotizm
Electronics,Electronics,Электроники,Electronics
Logistics,Logistics,Логистики,Logistics
Worker,Worker,Рабочих,Worker
Engineer,Engineer,Инженеров,Engineer
Doctor,Doctor,Докторов,Doctor
Lawyer,Lawyer,Адвокатов,Lawyer
Scientist,Scientist,Ученых,Scientist
Energy,Energy,Электричество,Energy
BuildingMaterials,BuildingMaterials,Строительных материалов,BuildingMaterials
MassMedia,MassMedia,Коммуникации,MassMedia
Water,Water,Воды,Water
Garbage,Garbage,Мусора,Garbage
Parasites,Parasites,Паразитов,Parasites
Medicines,Medicines,Медикаментов,Medicines
HighTech,HighTech,Высоких технологий,HighTech
Liberty,Liberty,Свободы,Liberty
Religion,Religion,Религии,Religion
Sand,Sand,Песка,Sand
Metall,Metall,Металла,Metall
Cement,Cement,Цемента,Cement
